,slot,flight,eta,gdp schedule,priority,airline,cost
0,0,OA3 5896D,736,736,1.34,OA3,1.34
1,1,HUB 8384,736,738,1.5,HUB,1.5
2,2,Empty,741,741,1.85,Empty,1.85
3,3,LC2 2213,746,746,1.35,LC2,1.35
4,4,Empty,747,747,1.85,Empty,1.85
5,5,HUB 9757,751,751,0.51,HUB,0.51
6,6,LC1 311,751,753,1.55,LC1,1.55
7,7,HUB 6068,756,756,1.63,HUB,1.63
8,8,HUB 5701,756,757,0.97,HUB,0.97
9,9,HUB 6612,756,762,1.69,HUB,1.69
10,10,HUB 5229,758,765,1.95,HUB,1.95
11,11,LC2 6426,761,768,0.7,LC2,0.7
12,12,HUB 1988,766,771,1.39,HUB,1.39
13,13,HUB 4325,771,774,1.54,HUB,1.54
14,14,LC1 2612,771,777,1.44,LC1,1.44
15,15,OA2 320D,769,780,1.38,OA2,1.38
16,16,HUB 3422,776,783,1.93,HUB,1.93
17,17,HUB 8106,776,786,1.23,HUB,1.23
18,18,HUB 9359,782,789,1.31,HUB,1.31
19,19,HUB 9293,783,792,1.7,HUB,1.7
20,20,OA8 6731,785,795,1.59,OA8,1.59
21,21,HUB 5126,786,798,1.62,HUB,1.62
22,22,LC1 4740,786,801,0.81,LC1,0.81
23,23,HUB 9649,787,804,0.88,HUB,0.88
24,24,OA1 5626,796,807,1.01,OA1,1.01
25,25,HUB 9173,797,810,1.02,HUB,1.02
26,26,HUB 9423,798,813,1.13,HUB,1.13
27,27,HUB 5366,799,816,1.82,HUB,1.82
28,28,OA5 727D,786,819,1.19,OA5,1.19
29,29,HUB 4009,799,822,1.42,HUB,1.42
30,30,HUB 8488,801,825,0.71,HUB,0.71
31,31,HUB 4025,802,828,1.04,HUB,1.04
32,32,HUB 1723,806,831,2.0,HUB,2.0
33,33,HUB 5084,807,834,1.39,HUB,1.39
34,34,HUB 4624,808,837,0.58,HUB,0.58
35,35,HUB 1654,808,840,1.33,HUB,1.33
36,36,OA8 4205,813,843,1.65,OA8,1.65
37,37,HUB 9873,814,846,1.57,HUB,1.57
38,38,HUB 3784,818,849,1.71,HUB,1.71
39,39,LC2 2413,819,852,1.43,LC2,1.43
40,40,HUB 5912,826,855,0.87,HUB,0.87
41,41,LC1 1592,826,858,0.55,LC1,0.55
42,42,HUB 1746,826,861,1.5,HUB,1.5
43,43,LC2 2315,826,864,0.79,LC2,0.79
44,44,LC1 6825,827,867,1.15,LC1,1.15
45,45,HUB 6434,827,870,1.6,HUB,1.6
46,46,OA1 318,827,873,1.92,OA1,1.92
47,47,HUB 4321,828,876,1.12,HUB,1.12
48,48,HUB 761,828,879,0.51,HUB,0.51
49,49,HUB 6242,831,882,1.05,HUB,1.05
50,50,HUB 8150,831,885,2.0,HUB,2.0
51,51,LC2 2119,834,888,0.84,LC2,0.84
52,52,HUB 591,835,891,0.61,HUB,0.61
53,53,HUB 5618,840,894,0.66,HUB,0.66
54,54,LC2 8387,842,897,1.12,LC2,1.12
55,55,OA5 108,866,900,1.28,OA5,1.28
56,56,OA8 8611,844,903,0.94,OA8,0.94
57,57,LC2 5206,844,906,1.03,LC2,1.03
58,58,LC1 7103,846,909,0.56,LC1,0.56
59,59,OA3 2151,850,912,0.65,OA3,0.65
60,60,OA8 8667,851,915,0.96,OA8,0.96
61,61,LC1 1105,856,918,0.87,LC1,0.87
62,62,HUB 3749,864,921,1.94,HUB,1.94
63,63,LC2 2373,864,924,1.14,LC2,1.14
64,64,LC2 532,866,927,1.2,LC2,1.2
65,65,OA1 192,876,930,1.33,OA1,1.33
66,66,OA1 1714,881,933,1.12,OA1,1.12
67,67,OA6 7277,896,936,1.01,OA6,1.01
68,68,HUB 3535,896,939,0.98,HUB,0.98
69,69,HUB 8114,906,942,1.94,HUB,1.94
70,70,LC2 6219,906,945,2.0,LC2,2.0
71,71,OA8 356,908,948,0.72,OA8,0.72
72,72,HUB 6065,909,951,0.71,HUB,0.71
73,73,OA6 1107,916,954,0.72,OA6,0.72
74,74,HUB 4033,916,957,1.07,HUB,1.07
75,75,HUB 8308,919,960,0.99,HUB,0.99
76,76,OA1 414,931,963,1.75,OA1,1.75
77,77,HUB 6072,934,966,1.29,HUB,1.29
78,78,HUB 5723,941,969,1.19,HUB,1.19
79,79,HUB 8639,942,972,0.88,HUB,0.88
80,80,HUB 5622,946,975,0.87,HUB,0.87
81,81,LC1 1844,948,978,1.82,LC1,1.82
82,82,OA1 824,952,981,1.66,OA1,1.66
83,83,LC2 1052,956,984,1.82,LC2,1.82
84,84,HUB 8374,956,987,1.42,HUB,1.42
85,85,LC2 9998,957,990,0.53,LC2,0.53
86,86,HUB 8498,963,993,0.76,HUB,0.76
87,87,HUB 8214,966,996,1.4,HUB,1.4
88,88,OA4 8655,966,999,1.49,OA4,1.49
89,89,OA2 101D,981,1002,1.12,OA2,1.12
90,90,HUB 8635,975,1005,1.29,HUB,1.29
91,91,HUB 1729,975,1008,0.72,HUB,0.72
92,92,HUB 5815,981,1011,1.39,HUB,1.39
93,93,OA6 955,993,1014,1.0,OA6,1.0
94,94,OA6 2033,1006,1017,1.12,OA6,1.12
95,95,HUB 771,1008,1020,0.8,HUB,0.8
96,96,OA5 680D,996,1021,0.75,OA5,0.75
97,97,OA8 8223,1011,1022,0.55,OA8,0.55
