slot,flight,eta,gdp schedule,priority,airline
0,OA3 5896D,736,736,25,OA3
1,HUB 8384,736,738,25,HUB
2,Empty,741,741,25,Empty
3,LC2 2213,746,746,25,LC2
4,Empty,747,747,25,Empty
5,HUB 9757,751,751,25,HUB
6,LC1 311,751,753,25,LC1
7,HUB 6068,756,756,25,HUB
8,HUB 5701,756,757,25,HUB
9,HUB 6612,756,762,25,HUB
10,HUB 5229,758,765,25,HUB
11,LC2 6426,761,768,25,LC2
12,HUB 1988,766,771,25,HUB
13,HUB 4325,771,774,33,HUB
14,LC1 2612,771,777,22,LC1
15,OA2 320D,769,780,29,OA2
16,HUB 3422,776,783,25,HUB
17,HUB 8106,776,786,25,HUB
18,HUB 9359,782,789,25,HUB
19,HUB 9293,783,792,25,HUB
20,OA8 6731,785,795,25,OA8
21,HUB 5126,786,798,45,HUB
22,LC1 4740,786,801,22,LC1
23,HUB 9649,787,804,23,HUB
24,OA1 5626,796,807,31,OA1
25,HUB 9173,797,810,23,HUB
26,HUB 9423,798,813,23,HUB
27,HUB 5366,799,816,23,HUB
28,OA5 727D,786,819,33,OA5
29,HUB 4009,799,822,25,HUB
30,HUB 8488,801,825,25,HUB
31,HUB 4025,802,828,25,HUB
32,HUB 1723,806,831,25,HUB
33,HUB 5084,807,834,25,HUB
34,HUB 4624,808,837,25,HUB
35,HUB 1654,808,840,25,HUB
36,OA8 4205,813,843,25,OA8
37,HUB 9873,814,846,25,HUB
38,HUB 3784,818,849,25,HUB
39,LC2 2413,819,852,25,LC2
40,HUB 5912,826,855,25,HUB
41,LC1 1592,826,858,25,LC1
42,HUB 1746,826,861,25,HUB
43,LC2 2315,826,864,25,LC2
44,LC1 6825,827,867,25,LC1
45,HUB 6434,827,870,25,HUB
46,OA1 318,827,873,25,OA1
47,HUB 4321,828,876,25,HUB
48,HUB 761,828,879,25,HUB
49,HUB 6242,831,882,25,HUB
50,HUB 8150,831,885,25,HUB
51,LC2 2119,834,888,25,LC2
52,HUB 591,835,891,25,HUB
53,HUB 5618,840,894,25,HUB
54,LC2 8387,842,897,25,LC2
55,OA5 108,866,900,20,OA5
56,OA8 8611,844,903,28,OA8
57,LC2 5206,844,906,26,LC2
58,LC1 7103,846,909,24,LC1
59,OA3 2151,850,912,27,OA3
60,OA8 8667,851,915,23,OA8
61,LC1 1105,856,918,20,LC1
62,HUB 3749,864,921,28,HUB
63,LC2 2373,864,924,26,LC2
64,LC2 532,866,927,0,LC2
65,OA1 192,876,930,25,OA1
66,OA1 1714,881,933,25,OA1
67,OA6 7277,896,936,25,OA6
68,HUB 3535,896,939,25,HUB
69,HUB 8114,906,942,25,HUB
70,LC2 6219,906,945,25,LC2
71,OA8 356,908,948,25,OA8
72,HUB 6065,909,951,25,HUB
73,OA6 1107,916,954,25,OA6
74,HUB 4033,916,957,25,HUB
75,HUB 8308,919,960,25,HUB
76,OA1 414,931,963,25,OA1
77,HUB 6072,934,966,25,HUB
78,HUB 5723,941,969,25,HUB
79,HUB 8639,942,972,25,HUB
80,HUB 5622,946,975,25,HUB
81,LC1 1844,948,978,25,LC1
82,OA1 824,952,981,25,OA1
83,LC2 1052,956,984,25,LC2
84,HUB 8374,956,987,25,HUB
85,LC2 9998,957,990,25,LC2
86,HUB 8498,963,993,25,HUB
87,HUB 8214,966,996,25,HUB
88,OA4 8655,966,999,25,OA4
89,OA2 101D,981,1002,25,OA2
90,HUB 8635,975,1005,28,HUB
91,HUB 1729,975,1008,13,HUB
92,HUB 5815,981,1011,25,HUB
93,OA6 955,993,1014,25,OA6
94,OA6 2033,1006,1017,37,OA6
95,HUB 771,1008,1020,26,HUB
96,OA5 680D,996,1021,17,OA5
97,OA8 8223,1011,1022,25,OA8
